order,opendt,type,lots,symbol,openprice,stoploss,takeprofit,closedt,closeprice,commission,taxes,swap,profit,account,magicnumber,expirationdt,comment,closed,demo,pip
1,2019.08.07 00:00,buy,2,eurcad,1.48673,1.48623,1.48723,2019.08.07 00:07,1.48623,0,0,0,-76.09,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
2,2019.08.07 03:20,buy,1.98,eurcad,1.4891,1.4886,1.4896,2019.08.07 03:47,1.4886,0,0,0,-75.34,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
3,2019.08.07 06:40,buy,1.97,eurcad,1.49231,1.49181,1.49281,2019.08.07 06:42,1.49181,0,0,0,-74.95,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
4,2019.08.07 10:00,buy,1.95,eurcad,1.49027,1.48977,1.49077,2019.08.07 10:07,1.48977,0,0,0,-74.19,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
5,2019.08.07 13:20,buy,1.94,eurcad,1.48636,1.48586,1.48686,2019.08.07 13:26,1.48686,0,0,0,73.81,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
6,2019.08.08 08:00,buy,1.95,eurcad,1.48865,1.48815,1.48915,2019.08.08 09:13,1.48915,0,0,0,74.19,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
7,2019.08.08 11:20,buy,1.97,eurcad,1.491,1.4905,1.4915,2019.08.08 11:37,1.4905,0,0,0,-74.95,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
8,2019.08.08 14:40,buy,1.95,eurcad,1.4892,1.4887,1.4897,2019.08.08 14:45,1.4887,0,0,0,-74.19,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
9,2019.09.04 00:00,sell,1.94,eurcad,1.46294,1.46344,1.46244,2019.09.04 00:04,1.46344,0,0,0,-73.8,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
10,2019.09.04 03:20,sell,1.92,eurcad,1.46321,1.46371,1.46271,2019.09.04 03:54,1.46371,0,0,0,-73.05,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
11,2019.09.04 06:40,sell,1.91,eurcad,1.46238,1.46288,1.46188,2019.09.04 08:42,1.46288,0,0,0,-72.66,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
12,2019.09.10 00:00,sell,1.9,eurcad,1.45441,1.45491,1.45391,2019.09.10 00:17,1.45491,0,0,0,-72.29,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
13,2019.09.10 03:20,sell,1.88,eurcad,1.45391,1.45441,1.45341,2019.09.10 03:22,1.45441,0,0,0,-71.52,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
14,2019.09.10 06:40,sell,1.87,eurcad,1.45487,1.45537,1.45437,2019.09.10 09:05,1.45537,0,0,0,-71.14,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
15,2019.09.10 10:00,sell,1.85,eurcad,1.45518,1.45568,1.45468,2019.09.10 10:05,1.45568,0,0,0,-70.38,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
16,2019.09.10 20:00,sell,1.84,eurcad,1.4506,1.4511,1.4501,2019.09.10 20:05,1.4501,0,0,0,70,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
17,2019.09.10 23:20,sell,1.85,eurcad,1.45166,1.45216,1.45116,2019.09.10 23:29,1.45216,0,0,0,-70.38,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
18,2019.09.30 00:00,sell,1.84,eurcad,1.44821,1.44871,1.44771,2019.09.30 01:14,1.44871,0,0,0,-70,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
19,2019.09.30 03:21,sell,1.82,eurcad,1.4478,1.4483,1.4473,2019.09.30 04:33,1.4483,0,0,0,-69.24,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
20,2019.09.30 06:41,sell,1.81,eurcad,1.44713,1.44763,1.44663,2019.09.30 07:17,1.44763,0,0,0,-68.86,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
21,2019.09.30 10:02,sell,1.8,eurcad,1.44858,1.44908,1.44808,2019.09.30 10:02,1.44908,0,0,0,-68.48,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
22,2019.09.30 16:00,sell,1.78,eurcad,1.44408,1.44458,1.44358,2019.09.30 16:13,1.44458,0,0,0,-67.72,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
23,2019.09.30 19:20,sell,1.77,eurcad,1.44451,1.44501,1.44401,2019.09.30 19:28,1.44501,0,0,0,-67.34,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
24,2019.10.18 20:00,buy,1.76,eurcad,1.46482,1.46432,1.46532,2019.10.18 20:02,1.46432,0,0,0,-66.96,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
25,2019.10.18 23:20,buy,1.74,eurcad,1.46531,1.46481,1.46581,2019.10.18 23:33,1.46481,0,0,0,-66.2,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
26,2019.10.21 00:00,buy,1.73,eurcad,1.46601,1.46551,1.46651,2019.10.21 00:05,1.46551,0,0,0,-65.82,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
27,2019.10.21 03:21,buy,1.72,eurcad,1.46522,1.46472,1.46572,2019.10.21 09:16,1.46472,0,0,0,-65.44,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
28,2019.10.28 16:00,sell,1.7,eurcad,1.44783,1.44833,1.44733,2019.10.28 16:02,1.44833,0,0,0,-64.68,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
29,2019.10.28 19:20,sell,1.69,eurcad,1.44898,1.44948,1.44848,2019.10.28 19:58,1.44948,0,0,0,-64.29,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
30,2019.10.28 22:40,sell,1.68,eurcad,1.44889,1.44939,1.44839,2019.10.28 22:51,1.44939,0,0,0,-63.92,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
31,2019.11.04 00:00,buy,1.66,eurcad,1.46738,1.46688,1.46788,2019.11.04 00:11,1.46688,0,0,0,-63.15,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
32,2019.11.04 03:21,buy,1.65,eurcad,1.46742,1.46692,1.46792,2019.11.04 07:52,1.46692,0,0,0,-62.78,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
33,2019.11.21 16:00,buy,1.64,eurcad,1.4758,1.4753,1.4763,2019.11.21 16:07,1.4753,0,0,0,-62.4,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
34,2019.11.21 19:20,buy,1.63,eurcad,1.46907,1.46857,1.46957,2019.11.21 19:39,1.46857,0,0,0,-62.02,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
35,2019.11.21 22:40,buy,1.61,eurcad,1.4686,1.4681,1.4691,2019.11.21 23:14,1.4691,0,0,0,61.26,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
36,2019.11.22 02:00,buy,1.63,eurcad,1.4697,1.4692,1.4702,2019.11.22 02:06,1.4692,0,0,0,-62.02,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
37,2019.11.22 05:20,buy,1.61,eurcad,1.46949,1.46899,1.46999,2019.11.22 07:39,1.46999,0,0,0,61.25,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
38,2019.11.22 08:40,buy,1.63,eurcad,1.47043,1.46993,1.47093,2019.11.22 09:27,1.46993,0,0,0,-62.02,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
39,2019.11.22 12:01,buy,1.61,eurcad,1.47004,1.46954,1.47054,2019.11.22 12:23,1.46954,0,0,0,-61.26,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
40,2019.11.22 15:21,buy,1.6,eurcad,1.46843,1.46793,1.46893,2019.11.22 15:22,1.46793,0,0,0,-60.87,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
41,2019.12.06 04:00,sell,1.59,eurcad,1.46397,1.46447,1.46347,2019.12.06 05:04,1.46447,0,0,0,-60.5,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
42,2019.12.06 07:20,sell,1.58,eurcad,1.46441,1.46491,1.46391,2019.12.06 08:09,1.46391,0,0,0,60.11,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
43,2019.12.06 10:41,sell,1.59,eurcad,1.4635,1.464,1.463,2019.12.06 11:12,1.463,0,0,0,60.5,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
44,2019.12.06 14:02,sell,1.6,eurcad,1.46164,1.46214,1.46114,2019.12.06 15:16,1.46214,0,0,0,-60.87,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
45,2019.12.06 17:23,sell,1.59,eurcad,1.46605,1.46655,1.46555,2019.12.06 17:26,1.46655,0,0,0,-60.49,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
46,2019.12.06 20:43,sell,1.58,eurcad,1.46553,1.46603,1.46503,2019.12.06 20:54,1.46503,0,0,0,60.12,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
47,2019.12.09 00:00,sell,1.59,eurcad,1.46507,1.46557,1.46457,2019.12.09 00:00,1.46557,0,0,0,-60.49,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
48,2019.12.09 03:21,sell,1.58,eurcad,1.46597,1.46647,1.46547,2019.12.09 03:39,1.46647,0,0,0,-60.11,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
49,2019.12.09 06:42,sell,1.57,eurcad,1.46613,1.46663,1.46563,2019.12.09 07:07,1.46663,0,0,0,-59.73,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
