order,opendt,type,lots,symbol,openprice,stoploss,takeprofit,closedt,closeprice,commission,taxes,swap,profit,account,magicnumber,expirationdt,comment,closed,demo,pip
1,2020.03.09 01:30,buy,0.32,gbpaud,1.98069,1.97569,1.98569,2020.03.09 03:09,1.97569,0,0,0,-101.25,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
2,2020.03.09 05:30,buy,0.08,gbpaud,2.01297,1.99327,2.03267,2020.03.09 05:48,1.99327,0,0,0,-97.96,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
3,2020.03.09 10:35,buy,0.19,gbpaud,2.01583,2.00733,2.02433,2020.03.09 11:10,2.00733,0,0,0,-101.19,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
4,2020.03.09 11:34,buy,0.18,gbpaud,2.00986,2.00136,2.01836,2020.03.09 11:43,2.00136,0,0,0,-95.88,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
5,2020.03.09 13:00,sell,0.16,gbpaud,1.99306,2.00306,1.98306,2020.03.09 13:26,1.98306,0,0,0,97.69,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
6,2020.03.09 17:50,sell,0.2,gbpaud,1.96838,1.97638,1.96038,2020.03.09 19:26,1.97638,0,0,0,-100.4,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
7,2020.03.10 02:10,sell,0.34,gbpaud,1.98364,1.98824,1.97904,2020.03.10 03:13,1.98824,0,0,0,-99.22,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
8,2020.03.10 09:00,buy,0.31,gbpaud,1.99094,1.98594,1.99594,2020.03.10 12:27,1.98594,0,0,0,-98.09,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
9,2020.03.10 19:15,buy,0.21,gbpaud,1.99367,1.98647,2.00087,2020.03.10 22:14,1.98647,0,0,0,-94.98,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
10,2020.03.11 01:00,sell,0.26,gbpaud,1.9841,1.9898,1.9784,2020.03.11 02:42,1.9898,0,0,0,-93.56,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
11,2020.03.11 15:15,sell,0.29,gbpaud,1.97956,1.98466,1.97446,2020.03.11 15:26,1.98466,0,0,0,-93.59,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
12,2020.03.11 19:55,sell,0.28,gbpaud,1.97449,1.97969,1.96929,2020.03.11 21:37,1.97969,0,0,0,-92.1,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
13,2020.03.12 04:45,buy,0.29,gbpaud,1.98848,1.98348,1.99348,2020.03.12 05:19,1.98348,0,0,0,-91.76,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
14,2020.03.12 15:00,buy,0.25,gbpaud,1.99622,1.99032,2.00212,2020.03.12 15:26,1.99032,0,0,0,-93,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
15,2020.03.12 23:20,buy,0.15,gbpaud,2.00389,1.99419,2.01359,2020.03.12 23:38,2.01359,0,0,0,88.75,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
16,2020.03.13 05:05,sell,0.2,gbpaud,1.99025,1.99765,1.98285,2020.03.13 06:25,1.99765,0,0,0,-92.98,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
17,2020.03.13 16:00,sell,0.23,gbpaud,1.98359,1.98989,1.97729,2020.03.13 16:53,1.98989,0,0,0,-91.28,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
18,2020.03.13 19:45,buy,0.14,gbpaud,2.01184,2.00174,2.02194,2020.03.13 20:26,2.00174,0,0,0,-88.4,125031,1,1970.01.01 00:00:00,Adir,1,1,1,
